Outcome,ROI,Signal,Stimulus,Moderator,ISC_main,ISC_main_p,Moderator_main,Moderator_main_p,Interaction_beta,Interaction_p,R_squared,Adj_R_squared,n
Accuracy,ldlPFC,HbO,Splitscreen,PHQ9_total,1.5750097838188988,0.8463615621904758,-0.02626623613355571,0.8002120424793898,-3.565288118137573,0.030301951160183947,0.05075179840928136,0.020130888680548464,97
Mindwandering_Splitscreen,lTPJ,HbO,Splitscreen,MW_state_SART,2.1018378176145123,0.4966803827102523,0.3898144663817911,5.498080593514835e-4,7.24559715319873,0.031513792083843264,0.20086838841056462,0.1729917042853517,90
Mindwandering_Splitscreen,dmPFC,HbO,Zima,Extraversion,-7.653355439616427,0.013224138580173314,0.07664228199950493,0.4943109919815043,-7.917316993056908,0.031529356863270006,0.1005742693504185,0.06919895316496794,90
Accuracy,rdlPFC,HbO,Zima,MW_trait_total,12.249381409295001,0.35925509025471336,0.13430560303351188,0.18814437503694556,-6.318042684679991,0.031636981364858624,0.06709328044177738,0.034167160927957685,89
Accuracy,ldlPFC,HbO,Splitscreen,SIAS_total,3.55661651872527,0.6671211386378335,-0.015832230388897837,0.6192239816949449,-1.4654631957008741,0.031973750365711005,0.05517729456541618,0.024699142777203864,97
Mindwandering_Zima,rTPJ,HbR,Splitscreen,PHQ9_total,0.716873811825807,0.8069232548041584,0.05584084989599524,0.013536458489497331,1.4934127505741128,0.033711986137658904,0.12531476153504295,0.09679241680249007,96
MW_Ratio,rTPJ,HbR,Zima,Extraversion,2.436310920483511,0.03149430672691748,0.02225854291974152,0.43108712294488827,4.293281355032616,0.03416682362251516,0.07638872493322522,0.04175330211822115,84
Accuracy,rTPJ,HbR,Splitscreen,Loneliness,17.10120919262925,0.20793150255337872,0.018826966686501558,0.6371207070126892,-2.888327779072319,0.034278949202285816,0.06689389817358854,0.035440883505282406,93
Accuracy,dmPFC,HbO,Splitscreen,Loneliness,-1.8227735301988397,0.8435030628354356,0.022351587463313238,0.5708925590009188,-1.7848731870101295,0.034402474251044785,0.04965098699613629,0.01932069934707692,98
MW_Ratio,ldlPFC,HbR,Splitscreen,Extraversion,-0.3857091879445209,0.7492763872255601,0.006362821070766863,0.801167063666141,-2.482273480829639,0.03486691837095794,0.05691145209049381,0.025475167160176948,94
Mindwandering_Splitscreen,vmPFC,HbO,Zima,SIAS_total,-5.159367603213195,0.09259990412439587,0.013233222980156101,0.11660417063912744,0.5738141450862252,0.03543166347783347,0.1092599756853889,0.07818764925580945,90
Accuracy,dmPFC,HbO,Zima,Loneliness,6.882266706357744,0.6231598276802078,0.01580024669449308,0.7045194591608084,-2.456221356537852,0.038637626499334034,0.05375197020391526,0.020354980916994614,89
Mindwandering_Splitscreen,dmPFC,HbO,Zima,Loneliness,-8.667470263637135,0.0077313045240015735,0.013743981483199249,0.15017645278126943,0.5524542109551994,0.04009632319333191,0.10251418010241051,0.07120653522226206,90
Accuracy,ldlPFC,HbO,Splitscreen,MW_trait_total,5.295244442117024,0.5315293544320775,0.18988509376526105,0.0581712140885169,-4.110828632993021,0.04079101104432775,0.0677502396678746,0.037677666753935135,97
Mindwandering_Zima,vmPFC,HbR,Zima,Loneliness,-3.3062322787068337,0.5469802215325223,-8.265007920138932e-5,0.9932433492008894,1.0838323744661689,0.04117979627688344,0.04840739284326035,0.01596673578109864,92
Accuracy,rTPJ,HbO,Zima,Extraversion,2.639007096641467,0.8706853668385007,0.47712913100762083,0.3411806665529864,31.94291955258832,0.04337339803508678,0.05572898602523934,0.020755985507655672,85
Accuracy,rTPJ,HbO,Zima,MW_trait_total,9.044254933508729,0.5702138495927382,0.1705009683100456,0.10858657763825451,-6.987227724847276,0.0433912776530371,0.0737551767111412,0.03944981288562799,85
Mindwandering_Zima,dmPFC,HbR,Splitscreen,Extraversion,8.018403049885684,0.18161815778922877,-0.012098875813159304,0.8999843525665097,13.814330151528766,0.04345132035916875,0.05597431403511401,0.026473511348711343,100
Mindwandering_Zima,rTPJ,HbR,Splitscreen,MW_state_SART,-0.6270069675262687,0.8114555803567881,0.5076272471756775,2.763334273259166e-7,5.242577826078785,0.044124640863771665,0.3085452949118651,0.2859978588763825,96
Accuracy,lTPJ,HbO,Zima,Extraversion,12.145250115066439,0.454681428806909,0.448108301027218,0.3669458568490055,30.692457463660155,0.04461765124504263,0.0589841243834215,0.02369602904779966,84
Accuracy,dmPFC,HbO,Splitscreen,GAD_total,6.381507104084933,0.5098022299918712,-0.15227471170068577,0.1267609729913434,-2.8905078079338655,0.045543088319682665,0.0736766452718139,0.0441131339507016,98
Accuracy,lTPJ,HbO,Splitscreen,MW_trait_total,25.416633315391348,0.07897656511626487,0.20003828543519836,0.04779970760441062,-7.529288880744888,0.04789578067581836,0.10432456229748463,0.07271248802563113,89
Accuracy,lTPJ,HbO,Splitscreen,Loneliness,14.244153057516769,0.3511312217360777,0.051698665883108993,0.22683031764252362,-3.046801415288736,0.04807382796427208,0.09353982325528003,0.061547111134877985,89
Mindwandering_Splitscreen,dmPFC,HbR,Zima,MW_state_SART,12.975884728907516,0.062132152785089094,0.5611273226877361,3.468537041006695e-7,24.363321608696204,0.04834905354259965,0.2671817678861849,0.24161834118454018,90
