predictor,B,SE,df,t,p_penalized,n_obs,n_unique_dyad,ROI,signal_type,stimulus,p_fdr,sig_uncorrected,sig_fdr
SIAS,-0.0020983020199259713,0.015015089026394634,5150,-0.13974622569585973,0.8888714309100652,10506,5152,ldlPFC,HbO,Splitscreen,0.8888714309100652,FALSE,FALSE
AQ10,-0.01486343291986967,0.01507127648863286,5150,-0.9862092922971752,0.3241230759648107,10506,5152,ldlPFC,HbO,Splitscreen,0.8735881104796294,FALSE,FALSE
ASRS,0.009486167260792426,0.014204350573570463,5150,0.6678353376072683,0.5042985565957343,10506,5152,ldlPFC,HbO,Splitscreen,0.9077374018723218,FALSE,FALSE
WHO5,-0.028073196481396563,0.01423731657277687,5150,-1.9718039096689919,0.04873887598337617,10506,5152,ldlPFC,HbO,Splitscreen,0.07310831397506426,TRUE,FALSE
Mindwandering_Splitscreen,1.0878597227467534e-4,0.014998399307973675,5144,0.007253172157967611,0.9942134191668255,10494,5146,ldlPFC,HbO,Splitscreen,0.9942134191668255,FALSE,FALSE
Loneliness,-0.007473178921110375,0.013642233884304081,4558,-0.5477973024424216,0.5838847365933852,9310,4560,rdlPFC,HbO,Zima,0.9456473427482726,FALSE,FALSE
MW_state,-0.02585892987906184,0.01365066119616227,4558,-1.894335337128709,0.058307009551677655,9310,4560,rdlPFC,HbO,Zima,0.13119077149127473,FALSE,FALSE
MW_trait,0.005391720710442292,0.013427164993084889,4558,0.4015531732289785,0.6880505475806542,9310,4560,rdlPFC,HbO,Zima,0.9020353127855049,FALSE,FALSE
PHQ9,-0.013154517242454821,0.013923968294204465,4558,-0.9447390976845366,0.3448922373206533,9310,4560,rdlPFC,HbO,Zima,0.9586480050034798,FALSE,FALSE
GAD,-0.005068603293856348,0.01407019973815298,4558,-0.3602367690710347,0.7187034618646105,9310,4560,rdlPFC,HbO,Zima,0.9048697361763988,FALSE,FALSE
SIAS,-0.021266721588608282,0.013713225090862263,4558,-1.5508183850040682,0.12108406127277521,9310,4560,rdlPFC,HbO,Zima,0.4148565794444803,FALSE,FALSE
