subject,channel,mean_isc_z,signal_type,stimulus
79,ldlPFC,0.05193322182546087,HbO,Zima
79,rTPJ,0.07085512616566769,HbO,Zima
79,rdlPFC,0.04345581453820409,HbO,Zima
79,vmPFC,0.03316036874404546,HbO,Zima
8,dmPFC,0.06619434926313827,HbO,Zima
8,lTPJ,0.06804835844325735,HbO,Zima
8,ldlPFC,0.07604061560522221,HbO,Zima
8,rTPJ,0.06551434763044942,HbO,Zima
8,rdlPFC,0.0390520070746683,HbO,Zima
8,vmPFC,0.05377917951705857,HbO,Zima
83,dmPFC,0.014918475267033618,HbO,Zima
83,lTPJ,0.0468390936194756,HbO,Zima
83,ldlPFC,0.03004636999057867,HbO,Zima
83,rTPJ,0.03114639337543719,HbO,Zima
83,rdlPFC,8.386677274878208e-4,HbO,Zima
83,vmPFC,0.027275079674277922,HbO,Zima
85,dmPFC,0.046994894011262396,HbO,Zima
85,lTPJ,0.025972038244899825,HbO,Zima
85,ldlPFC,0.05991494282995375,HbO,Zima
85,rTPJ,0.036830410070883765,HbO,Zima
85,rdlPFC,0.021026593774697143,HbO,Zima
85,vmPFC,0.029244097877748912,HbO,Zima
9,dmPFC,0.03575421177481455,HbO,Zima
9,lTPJ,0.05309685580782694,HbO,Zima
9,ldlPFC,0.047762388090253995,HbO,Zima
9,rTPJ,0.05154257900319234,HbO,Zima
9,rdlPFC,0.05112196909765325,HbO,Zima
9,vmPFC,0.05555235286072015,HbO,Zima
10,dmPFC,0.0065059509360573965,HbO,Zima
10,lTPJ,0.0101183013648161,HbO,Zima
10,ldlPFC,0.017170846999165285,HbO,Zima
10,rdlPFC,0.011635681666678138,HbO,Zima
10,vmPFC,-0.003975748630467214,HbO,Zima
100,dmPFC,0.08257355254117577,HbO,Zima
100,lTPJ,0.0694428598877609,HbO,Zima
100,ldlPFC,0.06729426232387699,HbO,Zima
100,rTPJ,0.0805940182603323,HbO,Zima
100,rdlPFC,0.06945880024098235,HbO,Zima
100,vmPFC,0.07351926238123237,HbO,Zima
101,dmPFC,0.014788662816617493,HbO,Zima
101,lTPJ,0.011462831192224635,HbO,Zima
101,ldlPFC,0.0019774911507464605,HbO,Zima
101,rTPJ,0.03594577148197703,HbO,Zima
101,rdlPFC,0.029706863060580704,HbO,Zima
101,vmPFC,-0.001833335199575445,HbO,Zima
105,dmPFC,0.03247783300989717,HbO,Zima
105,lTPJ,0.04731757716729221,HbO,Zima
105,ldlPFC,0.04895370094977548,HbO,Zima
105,rTPJ,0.0489669196890763,HbO,Zima
105,rdlPFC,0.052930598638984055,HbO,Zima
105,vmPFC,0.02800380046080096,HbO,Zima
108,dmPFC,0.08606304520487701,HbO,Zima
108,lTPJ,0.03031339802487238,HbO,Zima
108,ldlPFC,0.05880741397149648,HbO,Zima
108,rTPJ,0.05272516549955106,HbO,Zima
108,rdlPFC,0.07089512672809613,HbO,Zima
108,vmPFC,0.1075289683274391,HbO,Zima
109,dmPFC,-0.002845096353042061,HbO,Zima
109,lTPJ,0.018645110221863676,HbO,Zima
109,ldlPFC,0.01915850062148088,HbO,Zima
109,rTPJ,0.02999836981191721,HbO,Zima
109,rdlPFC,0.011197801123439745,HbO,Zima
109,vmPFC,0.012660570242586495,HbO,Zima
11,dmPFC,0.03267015476302764,HbO,Zima
11,lTPJ,0.02500852401922925,HbO,Zima
11,ldlPFC,0.047823836672761806,HbO,Zima
11,rTPJ,0.04245609751190835,HbO,Zima
11,rdlPFC,0.02019147369117405,HbO,Zima
11,vmPFC,0.08838998887796824,HbO,Zima
112,dmPFC,0.06499155668895036,HbO,Zima
112,lTPJ,0.045707490434812224,HbO,Zima
112,ldlPFC,0.07621598424899267,HbO,Zima
112,rTPJ,0.04563812667011843,HbO,Zima
112,rdlPFC,0.06514976144393551,HbO,Zima
