Outcome,ROI,Signal,Stimulus,Beta,p_value,R_squared,n
Mindwandering_Zima,ldlPFC,HbO,Zima,-7.990023533529039,0.027304307595463827,0.053555077086007846,91
Mindwandering_Splitscreen,vmPFC,HbO,Zima,-6.315843958821279,0.042375189831610205,0.045994329932126134,90
