ROI,Signal,Mean_Zima,Mean_Splitscreen,t_value,df,p_value,n
dmPFC,HbO,0.045926189584414724,0.030830165590670026,3.163757377972911,90,0.0021244776144997285,91
lTPJ,HbO,0.04281083804400638,0.016293287827106477,6.414678517428685,86,7.357682034262607e-9,87
lTPJ,HbR,0.01773243079503136,0.010504807271719579,2.5558271745856764,86,0.01235093867491153,87
ldlPFC,HbO,0.044989737351598814,0.03507325889388436,2.0073367481016677,89,0.047747406197557275,90
rTPJ,HbO,0.044622389869381954,0.018018322784988834,5.808158168435783,86,1.0391439296311596e-7,87
rdlPFC,HbO,0.0424390296211193,0.021764926764054334,4.284158525309412,90,4.585108675335281e-5,91
vmPFC,HbR,0.014957866009496435,0.004252262109207138,4.114991675947713,90,8.558357715898266e-5,91
