contrast,B,SE,t,df,n_unique_dyad,p_penalized,ROI,signal_type,stimulus,variable,p_fdr
HHvsLL,-0.09328499652201183,0.04255547111254851,-2.192079986032736,4559,4561,0.028474534498559242,rdlPFC,HbO,Zima,MW_state,0.12813540524351658
HHvsLH,-0.020688776330491973,0.0324855198186205,-0.636861483085559,4559,4561,0.524279023082609,rdlPFC,HbO,Zima,MW_state,0.9465561453248984
LHvsLL,-0.07259622019151986,0.02743748639068524,-2.645877219137886,4559,4561,0.00820394041818863,rdlPFC,HbO,Zima,MW_state,0.03691773188184883
HHvsLL,-0.04456223112288258,0.03662049370774328,-1.216865929731036,4559,4561,0.22378120224429873,rdlPFC,HbR,Zima,MW_state,0.38260642667362416
HHvsLH,-0.002057546252856873,0.030691556269139653,-0.06703948912899327,4559,4561,0.9465561453248984,rdlPFC,HbR,Zima,MW_state,0.9465561453248984
LHvsLL,-0.042504684870025705,0.025244676374717556,-1.6837088437621637,4559,4561,0.09237487006444495,rdlPFC,HbR,Zima,MW_state,0.1187676900828578
HHvsLL,-0.060799280669843275,0.03347787903996837,-1.8161031228189992,5252,5254,0.06946853593702168,rdlPFC,HbR,Splitscreen,MW_state,0.18081581510553196
HHvsLH,-0.012361357975901146,0.02930954043281471,-0.42175202317609445,5252,5254,0.6732405495450473,rdlPFC,HbR,Splitscreen,MW_state,0.9465561453248984
LHvsLL,-0.04843792269394213,0.022684176648252397,-2.1353176465266954,5252,5254,0.032827357076946825,rdlPFC,HbR,Splitscreen,MW_state,0.0833508616152898
HHvsLL,-0.04586989824982435,0.04176304977061894,-1.0983368911456906,4752,4754,0.2721686944147725,rTPJ,HbO,Splitscreen,MW_state,0.38260642667362416
HHvsLH,0.0034486874275014177,0.032703839937490806,0.10545206416412083,4752,4754,0.9160260063962062,rTPJ,HbO,Splitscreen,MW_state,0.9465561453248984
LHvsLL,-0.04931858567732576,0.02630265357123302,-1.87504220985768,4752,4754,0.060909484049394454,rTPJ,HbO,Splitscreen,MW_state,0.09136422607409168
HHvsLL,-0.030366927551657128,0.03799583602359773,-0.7992172493006184,4185,4187,0.42425515968419314,rTPJ,HbR,Zima,MW_state,0.47728705464471727
HHvsLH,0.009780196384332971,0.03213595163942438,0.3043381597679102,4185,4187,0.7609005379705015,rTPJ,HbR,Zima,MW_state,0.9465561453248984
LHvsLL,-0.0401471239359901,0.026147929181791433,-1.5353844526987341,4185,4187,0.12484060042414788,rTPJ,HbR,Zima,MW_state,0.14044567547716635
